"id","song","which_mistuned","mistuning","file","abs_mistuning","mistuning_direction","dummy_mistuning_direction","ranef_song_dummymistuning_direction","ranef_song_Intercept","linear_predictor_sans_ranef","linear_predictor_with_ranef","discrimination","difficulty_sans_ranef","difficulty_with_ranef","guessing","inattention"
"130","BrandonWebster_DontHearAThing","2","-45","stim-434.mp3","45","Flat","0","-1.02005","-0.413241","-0.852202","-1.26544","1.3997","0.608845","0.904079","0.5","0.983472"
"131","BrandonWebster_DontHearAThing","1","-50","stim-435.mp3","50","Flat","0","-1.02005","-0.413241","-0.597833","-1.01107","1.3997","0.427114","0.722349","0.5","0.983472"
"132","BrandonWebster_DontHearAThing","2","-50","stim-436.mp3","50","Flat","0","-1.02005","-0.413241","-0.597833","-1.01107","1.3997","0.427114","0.722349","0.5","0.983472"
"133","BrandonWebster_DontHearAThing","1","-55","stim-437.mp3","55","Flat","0","-1.02005","-0.413241","-0.343464","-0.756705","1.3997","0.245384","0.540618","0.5","0.983472"
"134","BrandonWebster_DontHearAThing","2","-55","stim-438.mp3","55","Flat","0","-1.02005","-0.413241","-0.343464","-0.756705","1.3997","0.245384","0.540618","0.5","0.983472"
"135","BrandonWebster_DontHearAThing","1","-60","stim-439.mp3","60","Flat","0","-1.02005","-0.413241","-0.0890955","-0.502336","1.3997","0.0636531","0.358888","0.5","0.983472"
"136","BrandonWebster_DontHearAThing","2","-60","stim-440.mp3","60","Flat","0","-1.02005","-0.413241","-0.0890955","-0.502336","1.3997","0.0636531","0.358888","0.5","0.983472"
"137","BrandonWebster_DontHearAThing","1","-65","stim-441.mp3","65","Flat","0","-1.02005","-0.413241","0.165273","-0.247967","1.3997","-0.118077","0.177157","0.5","0.983472"
"138","BrandonWebster_DontHearAThing","2","-65","stim-442.mp3","65","Flat","0","-1.02005","-0.413241","0.165273","-0.247967","1.3997","-0.118077","0.177157","0.5","0.983472"
"139","BrandonWebster_DontHearAThing","1","-70","stim-443.mp3","70","Flat","0","-1.02005","-0.413241","0.419642","0.00640153","1.3997","-0.299808","-0.00457349","0.5","0.983472"
"140","BrandonWebster_DontHearAThing","2","-70","stim-444.mp3","70","Flat","0","-1.02005","-0.413241","0.419642","0.00640153","1.3997","-0.299808","-0.00457349","0.5","0.983472"
"141","BrandonWebster_DontHearAThing","1","-75","stim-445.mp3","75","Flat","0","-1.02005","-0.413241","0.674011","0.26077","1.3997","-0.481539","-0.186304","0.5","0.983472"
"142","BrandonWebster_DontHearAThing","2","-75","stim-446.mp3","75","Flat","0","-1.02005","-0.413241","0.674011","0.26077","1.3997","-0.481539","-0.186304","0.5","0.983472"
"143","BrandonWebster_DontHearAThing","1","-80","stim-447.mp3","80","Flat","0","-1.02005","-0.413241","0.92838","0.515139","1.3997","-0.663269","-0.368035","0.5","0.983472"
"144","BrandonWebster_DontHearAThing","2","-80","stim-448.mp3","80","Flat","0","-1.02005","-0.413241","0.92838","0.515139","1.3997","-0.663269","-0.368035","0.5","0.983472"
"145","BrandonWebster_DontHearAThing","1","-85","stim-449.mp3","85","Flat","0","-1.02005","-0.413241","1.18275","0.769508","1.3997","-0.845","-0.549765","0.5","0.983472"
"146","BrandonWebster_DontHearAThing","2","-85","stim-450.mp3","85","Flat","0","-1.02005","-0.413241","1.18275","0.769508","1.3997","-0.845","-0.549765","0.5","0.983472"
"147","BrandonWebster_DontHearAThing","1","-90","stim-451.mp3","90","Flat","0","-1.02005","-0.413241","1.43712","1.02388","1.3997","-1.02673","-0.731496","0.5","0.983472"
"148","BrandonWebster_DontHearAThing","2","-90","stim-452.mp3","90","Flat","0","-1.02005","-0.413241","1.43712","1.02388","1.3997","-1.02673","-0.731496","0.5","0.983472"
"149","BrandonWebster_DontHearAThing","1","-95","stim-453.mp3","95","Flat","0","-1.02005","-0.413241","1.69149","1.27825","1.3997","-1.20846","-0.913226","0.5","0.983472"
